Mã quy tắc (rule_code),Hoạt chất A (generic_a),Hoạt chất B (generic_b),Mức độ (severity),Mức độ gốc (nhic_severity_raw),Hậu quả lâm sàng (clinical_effect),Cơ chế (mechanism),Khuyến cáo xử trí (recommendation),NHIC UID
DDI-NHIC-ATAZANAV-LOVASTAT-011,atazanavir/ritonavir,lovastatin,high,Chống chỉ định,"Tăng nồng độ của lovastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp",Atazanavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của lovastatin,"Chống chỉ định phối hợp.
Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay lovastatin bằng các dẫn chất statin khác (ngoại trừ simvastatin), sử dụng liều thấp nhất có hiệu quả, atorvastatin không quá 10 mg/ngày, rosuvastatin không vượt quá 10 mg/ngày, pitavastatin không cần hiệu chỉnh liều khi phối hợp.",5ACE30BD-A1BA-4A95-BE4B-38EA20E4135D
DDI-NHIC-ATAZANAV-SIMVASTA-012,atazanavir/ritonavir,simvastatin,high,Chống chỉ định,"Tăng nồng độ của simvastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp",Atazanavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của simvastatin,"Chống chỉ định phối hợp.
Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay simvastatin bằng các dẫn chất statin khác (ngoại trừ lovastatin) sử dụng liều thấp nhất có hiệu quả, atorvastatin không quá 10 mg/ngày, rosuvastatin không vượt quá 10 mg/ngày, pitavastatin không cần hiệu chỉnh liều khi phối hợp.",DA6D33B5-A636-4557-9071-C2A021AB396B
DDI-NHIC-ATAZANAV-DIHIDROE-013,atazanavir/ritonavir,dihydroergotamin,high,Chống chỉ định,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Atazanavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,Chống chỉ định phối hợp,BD1F2EF0-B368-4C83-A9A7-C153A45F213F
DDI-NHIC-ATAZANAV-ERGOMETR-014,atazanavir/ritonavir,ergometrin,high,Chống chỉ định có điều kiện,"Tăng nồng độ của ergometrin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Atazanavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ergometrin,"Tốt nhất nên tránh phối hợp. Đối với trường hợp điều trị băng huyết sau sinh, nếu không còn thuốc khác thay thế ở người bệnh đang sử dụng atazanavir, sử dụng ergometrin chỉ khi lợi ích vượt trội nguy cơ và sử dụng liều thấp nhất có hiệu quả trong thời gian ngắn nhất.",15A6F0AF-6F23-4B58-A2C1-23E80BD10B34
DDI-NHIC-ATAZANAV-IVABRADI-015,atazanavir/ritonavir,ivabradin,high,Chống chỉ định,"Tăng nồng độ ivabradin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT và chậm nhịp tim",Atazanavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ivabradin,Chống chỉ định phối hợp,B71354EC-7A6D-4DEB-9D65-1E47970E2810
DDI-NHIC-ATAZANAV-TICAGREL-016,atazanavir/ritonavir,ticagrelor,moderate,Chống ch�� định,"Tăng nồng độ của ticagrelor trong huyết thanh, tăng nguy cơ xuất huyết",Atazanavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ticagrelor,Chống chỉ định phối hợp,CE227774-BCFD-4A3F-9EE0-03802A0F5C5B
DDI-NHIC-ATAZANAV-FELODIPI-017,atazanavir/ritonavir,felodipin,high,Chống chỉ định,"Tăng nồng độ felodipin, tăng nguy cơ hạ huyết áp nghiêm trọng",Atazanavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của felodipin,Chống chỉ định phối hợp,0064886B-39B2-45E3-8015-ECB77A47E052
DDI-NHIC-ATAZANAV-RIFAMPIC-018,atazanavir/ritonavir,rifampicin,high,Chống chỉ định,"Giảm nồng độ atazanavir trong huyết thanh, giảm hiệu quả điều trị",Rifampicin cảm ứng CYP3A4 làm tăng chuyển hóa của Atazanavir/ritonavir,Chống chỉ định phối hợp,D27C28FA-CA03-407A-AA61-A4E5E50DFCF5
DDI-NHIC-ATAZANAV-DOMPERID-019,atazanavir/ritonavir,domperidon,high,Chống chỉ định,"Tăng nồng độ domperidon trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Atazanavir/ritonavir ức chế CYP3A4 làm giảm chuyển hóa của domperidon,Chống chỉ định phối hợp,B6D9508D-B522-47D6-9470-DAACAF1A1018
DDI-NHIC-ATAZANAV-COLCICIN-020,atazanavir/ritonavir,colchicin,high,Chống chỉ định có điều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Ritonavir ức chế mạnh CYP3A4 và ức chế P-gp làm giảm chuyển hóa và thải trừ colchicin.,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối h��p. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",A1FC8774-77BC-4D2F-816C-A3A3515AA5EF
DDI-NHIC-ATROPIN-KALICLOR-021,atropin,kali clorid,high,Chống chỉ định có điều kiện,Tăng nguy cơ loét tiêu hóa,"Atropin kháng cholinergic gây tồn lưu hoặc làm tăng thời gian kali qua đường tiêu hóa khi sử dụng đường uống, gây loét đường tiêu hóa","1. Tốt nhất nên tránh phối hợp, đặc biệt ở người cao tuổi. Cân nhắc chuyển sang sử dụng kali đường tĩnh mạch.
2. Trong trường hợp bắt buộc sử dụng đồng thời, cân nhắc một số khuyến cáo sau giúp giảm nguy cơ loét tiêu hóa: (1) uống ít nhất 100 mL nước sau khi uống kali, (2) ngồi hoặc đứng thẳng trong ít nhất 5 - 10 phút sau khi uống thu��c.
Lưu ý: tương tác xảy ra với kali clorid dạng uống giải phóng kéo dài.",1EFDCB52-6491-42FB-801D-DE2615C2DB7E
DDI-NHIC-AZITROMI-HALOPERI-022,azithromycin,haloperidol,high,Chống chỉ định có điều kiện,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,"1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải.
2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quy��t định kê đơn.",45818287-C272-4748-AF62-16FA734234CF
DDI-NHIC-AZITROMI-DOMPERID-023,azithromycin,domperidon,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,7EDCBEF7-2B7F-47B2-92D2-56E83A8BDF4D
DDI-NHIC-CALCICLO-CEFTRIAC-024,calci clorid,ceftriaxon,high,Chống chỉ định có điều kiện,"Tạo kết tủa tại phổi và thận, có thể dẫn đến tử vong ở trẻ sơ sinh",Hình thành tủa calci - ceftriaxon tại mô phổi và thận khi dùng đồng thời đường tĩnh mạch ở trẻ sơ sinh,"1. Chống chỉ định sử dụng đồng thời ở trẻ sơ sinh (< 28 ngày tuổi).
2. Ở các đối tượng khác, không trộn lẫn calci và ceftriaxon trong cùng 1 đường truyền, dùng 2 thuốc theo 2 đường truyền tại 2 vị trí khác nhau hoặc dùng lần lượt từng thuốc sau đó khi tráng rửa đường truyền bằng dung môi tương hợp.
Lưu ý: calci clorid sử dụng đường tĩnh mạch.",7716C6B8-6E43-4950-B64F-2784B38606FC
DDI-NHIC-ALISKIRE-CAPTOPRI-025,aliskiren,captopril,high,Chống chỉ định có điều kiện,"Tăng nguy cơ tăng kali máu, suy thận và hạ huyết áp",Hiệp đồng tăng tác dụng,"1. Chống chỉ định ở bệnh nhân đái tháo đường hoặc suy thận (MLCT < 60 ml/ph/1,73 m²).
2. Ở các đối tượng khác, cũng nên tránh phối hợp này. Trong trường hợp bắt buộc phối hợp, theo dõi chặt chẽ kali, creatinin và huyết áp của bệnh nhân.",CAF65EF2-E535-44A1-AB70-7341143000E3
DDI-NHIC-ALISKIRE-CANDESAR-026,aliskiren,candesartan,high,Chống chỉ định có điều kiện,"Tăng nguy cơ tăng kali máu, suy thận và hạ huyết áp",Hiệp đồng tăng tác dụng,"1. Chống chỉ định ở bệnh nhân đái tháo đường hoặc suy thận (MLCT < 60 ml/ph/1,73 m²).
2. Ở các đối tượng khác, cũng nên tránh phối hợp này. Trong trường hợp bắt buộc phối hợp, theo dõi chặt chẽ kali, creatinin và huyết áp của bệnh nhân.",F18AEA09-2F8A-4951-B79B-F21133AED5EB
DDI-NHIC-ARTEMETE-CARBAMAZ-027,artemether/lumefantrin,carbamazepin,high,Chống chỉ định,"Giảm nồng độ của artemether/lumefantrin trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Carbamazepin cảm ứng CYP3A4 mạnh làm tăng chuyển hóa của artemether/lumefantrin,Chống chỉ định phối hợp.,C3F6EF1B-B32A-457F-9880-56A2E48181A7
DDI-NHIC-CARBAMAZ-LINEZOLI-028,carbamazepin,linezolid,high,Chống chỉ định có điều kiện,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)",Hiệp đồng tác dụng serotonin,"1. Cố gắng tránh sử dụng đồng thời linezolid và carbamazepin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 
2. Trong hợp không thể trì hoãn điều trị ��ược 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc.",CE3E845A-D5FE-477F-8FC9-BBAA5957EFD3
DDI-NHIC-CARVEDIL-COLCICIN-029,carvedilol,colchicin,high,Chống chỉ định có điều kiện,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).",Carvedilol ức chế P-gp làm giảm thải trừ colchicin.,"1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận.
2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin.",CCB72265-220A-496D-ADAB-512BF169CC5A
DDI-NHIC-CALCIGLU-CEFTRIAC-030,calci glubionat,ceftriaxon,high,Chống chỉ định có điều kiện,"Tạo kết tủa tại phổi và thận, có thể dẫn đến tử vong ở trẻ sơ sinh",Hình thành tủa calci - ceftriaxon tại mô phổi và thận khi dùng đồng thời đường tĩnh mạch ở trẻ sơ sinh,"1. Chống chỉ định sử dụng đồng thời ở trẻ sơ sinh (< 28 ngày tuổi).
2. Ở các đối tượng khác, không trộn lẫn calci và ceftriaxon trong cùng 1 đường truyền, dùng 2 thuốc theo 2 đường truyền tại 2 vị trí khác nhau hoặc dùng lần lượt từng thuốc sau đó khi tráng rửa đường truyền bằng dung môi tương hợp.
Lưu ý: calci glubionat sử dụng đường tĩnh mạch.",D2266DBF-AC51-4847-86B9-97C7936D8D86
DDI-NHIC-CALCIGLU-CEFTRIAC-031,calci gluconat,ceftriaxon,high,Chống chỉ định có điều kiện,"Tạo kết tủa tại phổi và thận, có thể dẫn đến tử vong ở trẻ sơ sinh",Hình thành tủa calci - ceftriaxon tại mô phổi và thận khi dùng đồng thời đường tĩnh mạch ở trẻ sơ sinh,"1. Chống chỉ định sử dụng đồng thời ở trẻ sơ sinh (< 28 ngày tuổi).
2. Ở các đối tượng khác, không trộn lẫn calci và ceftriaxon trong cùng 1 đường truyền, dùng 2 thuốc theo 2 đường truyền tại 2 vị trí khác nhau hoặc dùng lần lượt từng thuốc sau đó khi tráng rửa đường truyền bằng dung môi tương hợp.
Lưu ý: calci gluconat sử dụng đường tĩnh mạch.",D625F908-34F3-4FBD-A32C-2ECD4B19D1DF
DDI-NHIC-CEFTRIAC-RINGERLA-032,ceftriaxon,ringer lactat,high,Chống chỉ định có điều kiện,"Tạo kết tủa tại phổi và thận, có thể dẫn đến tử vong ở trẻ sơ sinh",Hình thành tủa calci - ceftriaxon tại mô phổi và thận khi dùng đồng thời đường tĩnh mạch ở trẻ sơ sinh,"1. Chống chỉ định sử dụng đồng thời ở trẻ sơ sinh (< 28 ngày tuổi).
2. Ở các đối tượng khác, không trộn lẫn calci và ceftriaxon trong cùng 1 đường truyền, dùng 2 thuốc theo 2 đường truyền tại 2 vị trí khác nhau hoặc dùng lần lượt từng thuốc sau đó khi tráng rửa đường truyền bằng dung môi tương hợp.",D5B5E52D-38A9-418A-93D1-8315F12EA4A8
DDI-NHIC-CELECOCS-KETOROLA-033,celecoxib,ketorolac,high,Chống chỉ định,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Hiệp đồng tác dụng kích ứng đường tiêu hóa,Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.,65A75669-D4A7-417D-9C08-222F8E13FAAA
DDI-NHIC-AGOMELAT-CIPROFLO-034,agomelatin,ciprofloxacin,high,Chống chỉ định,"Tăng nồng độ của agomelatin trong huyết thanh, tăng nguy cơ tác dụng không mong muốn(đau đầu, buồn ngủ, mệt mỏi, kích động, lo lắng, căng thẳng, chóng mặt, tím tái...)",Ciprofloxacin ức chế CYP1A2 mạnh làm giảm chuyển hóa của agomelatin,Chống chỉ định phối hợp,E05E1BEA-6F66-4D2D-A55D-341F3DDE6200
DDI-NHIC-CIPROFLO-TIZANIDI-035,ciprofloxacin,tizanidin,high,Chống chỉ định,"Tăng nồng độ của tizanidin trong huyết thanh, tăng nguy cơ tác dụng bất lợi (hạ huyết áp, buồn ngủ, nhịp tim chậm...)",Ciprofloxacin ức chế CYP1A2 mạnh làm giảm chuyển hóa của tizanidin,Chống chỉ định phối hợp,5E75D614-6550-4949-A48B-A44BCC1D0FBE
DDI-NHIC-CIPROFLO-DOMPERID-036,ciprofloxacin,domperidon,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,5E33826E-B37A-44F9-B780-66FD3D9890F4
DDI-NHIC-CITALOPR-CLORPROM-037,citalopram,clorpromazin,high,Chống chỉ định có điều kiện,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,"1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải.
2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quy��t định kê đơn.",2F8A433A-DD6B-4893-A802-6E6B0B90E52A
DDI-NHIC-CLORPROM-MOCSIFLO-038,clorpromazin,moxifloxacin,high,Chống chỉ định có điều kiện,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,"1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải.
2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quy��t định kê đơn.",971B1107-D323-409B-9F4D-F20E14B28C2D
DDI-NHIC-CLORPROM-HALOPERI-039,clorpromazin,haloperidol,high,Chống chỉ định có điều kiện,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,"1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải.
2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quy��t định kê đơn.",CBD1DDB6-9E28-41E8-A447-AA0B4370F100
DDI-NHIC-CLORPROM-DOMPERID-040,clorpromazin,domperidon,high,Chống chỉ định,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,Chống chỉ định phối hợp.,5BA2D4CC-E3F5-4A5B-BC49-7577C6F27C22
DDI-NHIC-CLARITRO-HALOPERI-041,clarithromycin,haloperidol,high,Chống chỉ định có điều kiện,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Hiệp đồng tăng tác dụng,"1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải.
2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quy��t định kê đơn.",6007ABAA-2B10-437B-A4A0-6001A2544E56
DDI-NHIC-CLARITRO-LOVASTAT-042,clarithromycin,lovastatin,high,Chống chỉ định,"Tăng nồng độ của lovastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp",Clarithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của lovastatin,"Chống chỉ định phối hợp.
Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn:
- Trong trường hợp bắt buộc sử dụng kháng sinh macrolid, thay clarithromycin bằng azithromycin HOẶC
- Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay lovastatin bằng các dẫn chất statin khác (lưu ý liều pravastatin không vượt quá 40 mg/ngày, fluvastatin không vượt quá 20 mg/ngày, thận trọng khi phối hợp với atorvastatin).",869C8908-157F-4A2E-B9AB-D21CA7D20DD9
DDI-NHIC-CLARITRO-SIMVASTA-043,clarithromycin,simvastatin,high,Chống chỉ định,"Tăng nồng độ của simvastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp",Clarithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của simvastatin,"Chống chỉ định phối hợp.
Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn:
- Trong trường hợp bắt buộc sử dụng kháng sinh macrolid, thay clarithromycin bằng azithromycin HOẶC
- Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay simvastatin bằng các dẫn chất statin khác (lưu ý liều pravastatin không vượt quá 40 mg/ngày, fluvastatin không vượt quá 20 mg/ngày, thận trọng khi phối hợp với atorvastatin).",30932390-B12F-4B0A-B1DC-21FC75357388
